Type,Buy,Cur.,Sell,Cur..1,Fee,Cur..2,Exchange,Group,Comment,Trade ID,Imported From,Add Date,Date
Trade,34.0,XLM,4.3248,USDT,0.204,XLM,Binance US,53645554,,2303911558,Binance US CSV,2025-06-19,08-11-2023 16:41:00
Trade,410.0,XLM,52.152,USDT,2.46,XLM,Binance US,53645554,,2303911559,Binance US CSV,2025-06-19,08-11-2023 16:41:00
Trade,184.0,XLM,23.4232,USDT,0.736,XLM,Binance US,53645554,,2303912031,Binance US CSV,2025-06-19,08-11-2023 16:41:00
Trade,1000.0,HBAR,59.8,USDT,6.0,HBAR,Binance US,53645554,,2303911148,Binance US CSV,2025-06-19,08-11-2023 16:43:00
Trade,9707.0,HBAR,580.4786,USDT,58.242,HBAR,Binance US,53645554,,2303911147,Binance US CSV,2025-06-19,08-11-2023 16:43:00
Trade,3293.0,HBAR,197.2507,USDT,19.758,HBAR,Binance US,53645554,,2303911144,Binance US CSV,2025-06-19,08-11-2023 16:43:00
Trade,742.0,HBAR,44.3716,USDT,4.452,HBAR,Binance US,53645554,,2303911115,Binance US CSV,2025-06-19,08-11-2023 16:43:00
Trade,3714.0,HBAR,222.0972,USDT,22.284,HBAR,Binance US,53645554,,2303911122,Binance US CSV,2025-06-19,08-11-2023 16:43:00
Trade,1000.0,HBAR,59.9,USDT,6.0,HBAR,Binance US,53645554,,2303911145,Binance US CSV,2025-06-19,08-11-2023 16:43:00
Trade,1000.0,HBAR,59.8,USDT,6.0,HBAR,Binance US,53645554,,2303911112,Binance US CSV,2025-06-19,08-11-2023 16:43:00
Trade,3392.0,HBAR,202.8416,USDT,20.352,HBAR,Binance US,53645554,,2303911118,Binance US CSV,2025-06-19,08-11-2023 16:43:00
Trade,458.0,HBAR,27.3884,USDT,2.748,HBAR,Binance US,53645554,,2303911113,Binance US CSV,2025-06-19,08-11-2023 16:43:00
Trade,187.0,HBAR,11.1826,USDT,1.122,HBAR,Binance US,53645554,,2303911125,Binance US CSV,2025-06-19,08-11-2023 16:43:00
Trade,507.0,HBAR,30.3186,USDT,3.042,HBAR,Binance US,53645554,,2303911123,Binance US CSV,2025-06-19,08-11-2023 16:43:00
Trade,300.0,HBAR,17.97,USDT,1.8,HBAR,Binance US,53645554,,2303913330,Binance US CSV,2025-06-19,08-11-2023 16:45:00
Trade,3326.0,XLM,425.0628,USDT,19.956,XLM,Binance US,53645554,,2303913442,Binance US CSV,2025-06-19,08-11-2023 16:48:00
Trade,410.0,XLM,52.357,USDT,2.46,XLM,Binance US,53645554,,2303913445,Binance US CSV,2025-06-19,08-11-2023 16:48:00
Trade,1224.0,XLM,156.3048,USDT,7.344,XLM,Binance US,53645554,,2303913443,Binance US CSV,2025-06-19,08-11-2023 16:48:00
Trade,40.0,XLM,5.112,USDT,0.24,XLM,Binance US,53645554,,2303913441,Binance US CSV,2025-06-19,08-11-2023 16:48:00
Trade,2448.0,XLM,312.3648,USDT,14.688,XLM,Binance US,53645554,,2303911809,Binance US CSV,2025-06-19,08-11-2023 16:48:00
Trade,410.0,XLM,52.316,USDT,2.46,XLM,Binance US,53645554,,2303911814,Binance US CSV,2025-06-19,08-11-2023 16:48:00
Trade,33.0,XLM,4.2042,USDT,0.198,XLM,Binance US,53645554,,2303911812,Binance US CSV,2025-06-19,08-11-2023 16:48:00
Trade,515.0,XLM,65.714,USDT,3.09,XLM,Binance US,53645554,,2303911807,Binance US CSV,2025-06-19,08-11-2023 16:48:00
Trade,1594.0,XLM,203.5538,USDT,9.564,XLM,Binance US,53645554,,2303911813,Binance US CSV,2025-06-19,08-11-2023 16:48:00
Trade,4425.0,XLM,565.0725,USDT,26.55,XLM,Binance US,53645554,,2303911361,Binance US CSV,2025-06-19,08-11-2023 16:51:00
Trade,519.1,NEAR,767.2298,USDT,3.1146,NEAR,Binance US,53645554,,2303913625,Binance US CSV,2025-06-19,08-11-2023 16:53:00
Trade,388.5,NEAR,578.865,USDT,1.554,NEAR,Binance US,53645554,,2303915461,Binance US CSV,2025-06-19,08-11-2023 16:53:00
Trade,8.9,NEAR,13.2432,USDT,0.0534,NEAR,Binance US,53645554,,2303913619,Binance US CSV,2025-06-19,08-11-2023 16:53:00
Trade,607.7,NEAR,898.7883,USDT,3.6462,NEAR,Binance US,53645554,,2303913618,Binance US CSV,2025-06-19,08-11-2023 16:53:00
Trade,304.4,NEAR,450.512,USDT,1.8264,NEAR,Binance US,53645554,,2303915034,Binance US CSV,2025-06-19,08-11-2023 16:53:00
Trade,8.9,NEAR,13.1097,USDT,0.0534,NEAR,Binance US,53645554,,2303915035,Binance US CSV,2025-06-19,08-11-2023 16:53:00
Trade,686.7,NEAR,1012.8825,USDT,4.1202,NEAR,Binance US,53645554,,2303915039,Binance US CSV,2025-06-19,08-11-2023 16:53:00
Trade,0.8,NEAR,1.1848,USDT,0.0048,NEAR,Binance US,53645554,,2303913624,Binance US CSV,2025-06-19,08-11-2023 16:53:00
Trade,2.71,FIL,11.83457,USDT,0.01626,FIL,Binance US,53645554,,2303913733,Binance US CSV,2025-06-19,08-11-2023 16:59:00
Trade,291.2,FIL,1271.3792,USDT,1.7472,FIL,Binance US,53645554,,2303913727,Binance US CSV,2025-06-19,08-11-2023 16:59:00
Trade,2.33,FIL,10.19375,USDT,0.01398,FIL,Binance US,53645554,,2303913735,Binance US CSV,2025-06-19,08-11-2023 16:59:00
Trade,0.19,FIL,0.83182,USDT,0.00114,FIL,Binance US,53645554,,2303913729,Binance US CSV,2025-06-19,08-11-2023 16:59:00
Trade,11.2,FIL,48.9552,USDT,0.0672,FIL,Binance US,53645554,,2303913737,Binance US CSV,2025-06-19,08-11-2023 16:59:00
Trade,192.37,FIL,838.7332,USDT,1.15422,FIL,Binance US,53645554,,2303913731,Binance US CSV,2025-06-19,08-11-2023 16:59:00
