ID (read-only),Parent ID (read-only),Date (UTC),Type,Tag,From Wallet (read-only),From Wallet ID,From Amount,From Currency,To Wallet (read-only),To Wallet ID,To Amount,To Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Fee Worth Amount,Fee Worth Currency,Net Value (read-only),Fee Value (read-only),Value Currency (read-only),Deleted,From Source (read-only),To Source (read-only),Negative Balances (read-only),Missing Rates (read-only),Missing Cost Basis (read-only),Synced To Accounting At (UTC read-only),TxSrc,TxDest,TxHash,Description
A1ABDEDEF538F11220A995889B27C628,,2025-01-19 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.272294,ADA;1865,0.0,,0.0,,0.0,,0.2791541256,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 533
627B449D4043F3287B08D5D471F6115E,,2025-01-14 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.225787,ADA;1865,0.0,,0.0,,0.0,,0.2239433623,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 532
9262FBCB9E3998B0298A4DC280C5C7BE,,2025-01-09 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.249554,ADA;1865,0.0,,0.0,,0.0,,0.2236429615,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 531
BF03DAB45773002C92561332AB1C8844,,2025-01-04 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.320887,ADA;1865,0.0,,0.0,,0.0,,0.3452639901,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 530
0A4221DC8456CB7134B98971F0DDB87C,,2024-12-30 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.298717,ADA;1865,0.0,,0.0,,0.0,,0.2553022177,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 529
140A60DA10AEBBFD03A742316B4EF4F1,,2024-12-25 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.290392,ADA;1865,0.0,,0.0,,0.0,,0.2639966281,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 528
51D853D92E746010D5D43AAD106A450F,,2024-12-20 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.303792,ADA;1865,0.0,,0.0,,0.0,,0.2765053481,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 527
BC0830C581C5C964F681067454366B21,,2024-12-15 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.267693,ADA;1865,0.0,,0.0,,0.0,,0.2857173488,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 526
E957C885240C67320F8E5E7C91B68F3D,,2024-12-10 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.222415,ADA;1865,0.0,,0.0,,0.0,,0.2242759435,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 525
6B77E34C9E53AA325D0614522DE11FD2,,2024-12-05 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.273514,ADA;1865,0.0,,0.0,,0.0,,0.3240958493,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 524
ECA0F19AFB9B75CCA6D7E4FBCBE342AA,,2024-11-30 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.286507,ADA;1865,0.0,,0.0,,0.0,,0.3131234231,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 523
D5824FDE1B64CDB0E19CB9A5A2A09CF3,,2024-11-25 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.28596,ADA;1865,0.0,,0.0,,0.0,,0.2758144128,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 522
8AD87315EFB9283D5E4CDB320D41E54A,,2024-11-20 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.293292,ADA;1865,0.0,,0.0,,0.0,,0.23878841,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 521
CF3FA12523F5EA5EDE38163397FC3D79,,2024-11-15 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.301277,ADA;1865,0.0,,0.0,,0.0,,0.2025830482,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 520
0A4F041E337E856C3662BBB4CC4E4D5E,,2024-11-10 21:44:51,deposit,reward,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.22928,ADA;1865,0.0,,0.0,,0.0,,0.1330621119,0.0,USD;10,false,,api,false,false,,,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,,,Rewards for epoch 519
